optimizer,seed,task,epret,eplen,rstep,obs_delay_mean,act_delay_mean,actor_dorm,value_dorm
cbp,0,23,362.9379966042259,154.2541406804865,2.3563713160428135,1.000418489629572,2.500117995522239,4.482323429801247,19.00503834811124
cbp,0,24,379.3028869628906,166.94051310221354,2.2777961254119874,1.4999189853668213,1.5000590324401855,4.212963263193767,19.78142000834147
cbp,0,25,471.70081329345703,192.00180943806967,2.466063996156057,0.999999612569809,1.4995808402697246,4.3402780294418335,20.381211757659912
cbp,0,26,274.4367786754261,131.67190967906606,2.08780912919478,2.9999149929393423,2.4985912062905054,4.1666669845581055,21.694697640158914
cbp,0,27,443.584230695452,176.84092712402344,2.513002480779375,1.5003142952919006,1.4999560969216483,4.1666669845581055,19.872866494315012
cbp,0,28,408.8284218528054,166.67574934525922,2.4609402309764516,1.0007925629615784,2.4995274977250532,4.292929562655362,21.275991093028676
cbp,0,29,279.74948952414775,139.50078097256747,2.0083189010620117,3.500146649100564,2.0014973011883823,4.1666669845581055,24.15016573125666
cbp,0,30,234.359370640346,119.82333592006138,1.965288179261344,3.500015684536525,3.4995677641459872,4.21627014023917,22.248242923191615
cbp,0,31,299.1076190655048,140.86819810133713,2.134600052466759,1.9989377902104304,3.50005369919997,4.1666669845581055,21.617725665752705
cbp,0,32,463.52547513521637,192.0402315579928,2.4208077650803785,0.5000653542005099,1.9995567798614502,4.1666669845581055,21.455592668973484
cbp,0,33,313.1841862996419,141.9491818745931,2.214805821577708,2.499307096004486,2.4995012283325195,4.1666669845581055,22.378349622090656
cbp,0,34,255.60910034179688,125.43787320454915,2.043943921724955,3.499601642290751,3.500511646270752,4.1666669845581055,21.415560245513916
cbp,0,35,538.0666453043619,213.18139012654623,2.5294063886006675,1.4999220470587413,0.5003238345185915,4.340277989705403,24.3950031598409
cbp,0,36,510.4240692138672,204.13266143798828,2.5096023797988893,0.9995300710201264,0.9999613761901855,4.1666669845581055,23.21623649597168
cbp,0,37,548.5066299438477,199.63201904296875,2.7566919922828674,0.9998340904712677,1.499425321817398,3.8194446563720703,23.73145866394043
cbp,0,38,362.0449028015137,152.635479927063,2.3808258026838303,1.4999726936221123,2.9999581277370453,4.991319537162781,23.54117774963379
cbp,0,39,434.63532104492185,165.80206298828125,2.628346300125122,0.5002151697874069,3.5001211404800414,4.861111164093018,22.41217746734619
redo,0,0,101.52388254801433,86.77682113647461,1.1841854254404705,3.500385800997416,2.499766925970713,0.4629629850387573,1.1449387967586517
redo,0,1,165.0496368408203,112.25439616612026,1.4827127030917577,2.0006082313401357,3.4999823229653493,2.876984255654471,7.215344871793475
redo,0,2,200.99101765950522,121.9382807413737,1.6566587487856548,2.500192940235138,2.5003819863001504,3.472222328186035,7.871454278628032
redo,0,3,198.6084081476385,116.0854193947532,1.7177703163840554,3.0000042481855913,3.500207229094072,3.472222328186035,8.76445921984586
redo,0,4,222.19745127360025,122.49670028686523,1.8222085138161976,2.4992095629374185,1.50089693069458,3.0092593828837075,11.254228115081787
redo,0,5,262.97036049582744,139.34613730690697,1.8927224549380215,1.4996805407784202,1.5008600841869006,3.219697106968273,13.909587079828436
redo,0,6,370.67764536539715,170.16780598958334,2.1846731106440225,0.49992456038792926,1.5003327826658885,3.0671297510464988,15.489200592041016
redo,0,7,251.9969681959886,125.21646587665265,2.017431919391339,1.9991158063595111,2.9996968782865086,3.899572885953463,20.008406272301308
redo,0,8,356.1378502478966,154.2683328481821,2.316195249557495,2.000378049336947,1.4998740599705622,2.777777910232544,21.941991806030273
redo,0,9,231.77752920297476,117.76873427170973,1.9789091348648071,3.5001166600447435,2.99989285835853,4.1666669845581055,22.632557795597958
redo,0,10,259.70123995267426,132.04994260347806,1.9753508476110606,3.5000423101278453,2.4999871804164004,4.00641052539532,24.47006475008451
redo,0,11,354.70058969350964,153.2540036714994,2.3248452956859884,2.4998369216918945,1.4999284285765428,4.861111164093018,24.115773567786583
redo,0,12,390.13275423916906,174.37635941938922,2.244086265563965,1.499864556572654,1.4995741844177246,4.608586007898504,25.278545899824664
redo,0,13,446.88746643066406,172.28529993693033,2.6109153827031455,1.4998656709988911,1.49996613462766,4.282407681147258,25.618006070454914
redo,0,14,319.0506064675071,142.71248696067116,2.2410867647691206,3.0004203753037886,1.9988380670547485,5.303030490875244,26.044992446899414
redo,0,15,366.66824106069714,163.4830310528095,2.2576641119443455,2.499954315332266,1.5003255605697632,4.487179682804988,27.184289785531853
redo,0,16,382.3916515003551,157.17096918279475,2.4418594403700395,2.0004097006537696,2.4994770830327813,4.671717296947133,26.81853537126021
redo,0,17,381.21337890625,165.12933476765951,2.317062556743622,2.49918923775355,1.499798725048701,5.3240742683410645,26.68488073348999
redo,0,18,409.5658176967076,181.54625701904297,2.2628181832177297,1.4998750686645508,1.9990659952163696,5.109127112797329,27.90230737413679
redo,0,19,350.8448439378005,155.44795109675482,2.2655279269585242,3.4997903933891883,1.4995504984488854,5.662393459906945,29.322043052086464
redo,0,20,352.9522899280895,164.98526000976562,2.1412329457022925,2.9997309771451084,2.0004656965082344,6.502525676380504,27.968205712058328
redo,0,21,321.96268790108815,145.66026524135046,2.218114444187709,2.998983212879726,2.499471460069929,5.555555820465088,27.539867401123047
redo,0,22,444.5179748535156,188.04519098455256,2.3741499944166704,1.5002099709077314,1.5004332932558926,4.482323429801247,29.103682257912375
redo,0,23,466.4750033291903,172.79736189408735,2.713429472663186,1.000418489629572,2.500117995522239,5.744949817657471,27.322403127496894
redo,0,24,508.4271219889323,207.12073771158853,2.464233223597209,1.4999189853668213,1.5000590324401855,6.06481523513794,29.476970036824543
redo,0,25,649.7027587890625,225.86448415120444,2.8855821092923484,0.999999612569809,1.4995808402697246,4.976851979891459,30.523027578989666
redo,0,26,320.7610917524858,144.8754549893466,2.2224795168096367,2.9999149929393423,2.4985912062905054,6.628788211128929,28.883684158325195
redo,0,27,634.9613560267857,210.42908586774553,3.0281497069767545,1.5003142952919006,1.4999560969216483,6.498016221182687,30.506299563816615
redo,0,28,568.2269009676846,185.64063332297584,3.070109800858931,1.0007925629615784,2.4995274977250532,5.303030577572909,29.075295188210227
redo,0,29,310.1041342995384,143.8629580411044,2.1671301234852183,3.500146649100564,2.0014973011883823,5.492424488067627,30.352706042203035
redo,0,30,246.33888789585657,115.10472978864398,2.152409706796919,3.500015684536525,3.4995677641459872,6.150793995176043,29.407827922276088
redo,0,31,376.29595947265625,148.1068361722506,2.5477531139667215,1.9989377902104304,3.50005369919997,6.677350704486553,29.562240013709435
redo,0,32,689.5267615685096,229.6513190636268,3.01229687837454,0.5000653542005099,1.9995567798614502,5.181624082418589,31.417760995718147
redo,0,33,385.44118245442706,156.3730557759603,2.471383889516195,2.499307096004486,2.4995012283325195,6.65509291489919,30.49700625737508
redo,0,34,257.5648307800293,118.07172711690266,2.1919674475987754,3.499601642290751,3.500511646270752,5.208333492279053,29.365078290303547
redo,0,35,806.2030843098959,250.3816057840983,3.2423619429270425,1.4999220470587413,0.5003238345185915,5.150463223457336,32.22742525736491
redo,0,36,812.9044250488281,259.7783004760742,3.136589860916138,0.9995300710201264,0.9999613761901855,5.138889026641846,32.2326301574707
redo,0,37,880.0330123901367,236.5650405883789,3.7233309149742126,0.9998340904712677,1.499425321817398,5.815972566604614,32.738094091415405
redo,0,38,417.84774017333984,143.85333251953125,2.911973923444748,1.4999726936221123,2.9999581277370453,6.72743085026741,27.951794385910034
redo,0,39,783.6096252441406,217.73423767089844,3.5990651130676268,0.5002151697874069,3.5001211404800414,5.625000238418579,31.54566593170166
shrink_and_perturb,0,0,97.43378448486328,83.3311595916748,1.1845830579598744,3.500385800997416,2.499766925970713,0.0,3.5519124368826547
shrink_and_perturb,0,1,164.7014868600028,110.32371357509068,1.502143851348332,2.0006082313401357,3.4999823229653493,1.6865080424717493,16.733577728271484
shrink_and_perturb,0,2,197.1075528462728,115.40129089355469,1.714869091908137,2.500192940235138,2.5003819863001504,1.4467593332131703,20.647930145263672
shrink_and_perturb,0,3,205.79881147904828,118.48058873956853,1.7466689348220825,3.0000042481855913,3.500207229094072,2.398990045894276,24.895322452891957
shrink_and_perturb,0,4,231.08384323120117,125.62681770324707,1.8447152177492778,2.4992095629374185,1.50089693069458,2.0833334922790527,26.801976521809895
shrink_and_perturb,0,5,255.48428206010297,130.03188740123403,1.9715071591463955,1.4996805407784202,1.5008600841869006,2.2727274244481865,28.862393986095082
shrink_and_perturb,0,6,378.5293223063151,160.66097132364908,2.3582292000452676,0.49992456038792926,1.5003327826658885,2.777777910232544,30.75071398417155
shrink_and_perturb,0,7,260.65828880896936,125.74234360914964,2.080779038942777,1.9991158063595111,2.9996968782865086,3.311965924042922,31.736022362342247
shrink_and_perturb,0,8,367.0066152719351,150.25931842510516,2.451347699532142,2.000378049336947,1.4998740599705622,2.777777910232544,32.774874467116135
shrink_and_perturb,0,9,231.90609271709735,117.51742729773888,1.982842784661513,3.5001166600447435,2.99989285835853,4.1666669845581055,34.36017344548152
shrink_and_perturb,0,10,258.6718257023738,128.3518576988807,2.022617321748,3.5000423101278453,2.4999871804164004,3.9529917056743917,35.86740845900316
shrink_and_perturb,0,11,394.5137188251202,158.96344346266525,2.4877405900221605,2.4998369216918945,1.4999284285765428,4.1666669845581055,35.53713783851037
shrink_and_perturb,0,12,393.6045282537287,176.54296458851206,2.2358357256109063,1.499864556572654,1.4995741844177246,3.472222328186035,36.335247386585586
shrink_and_perturb,0,13,492.0183639526367,182.82651011149088,2.695142467816671,1.4998656709988911,1.49996613462766,3.877315044403076,36.651052474975586
shrink_and_perturb,0,14,332.6066422895952,144.61317166415128,2.3170632232319224,3.0004203753037886,1.9988380670547485,4.356060895052823,37.50620963356712
shrink_and_perturb,0,15,365.5703430175781,158.58446678748498,2.312372629459088,2.499954315332266,1.5003255605697632,4.1666669845581055,37.80700155404898
shrink_and_perturb,0,16,356.0041531649503,140.85633988813922,2.5448850718411533,2.0004097006537696,2.4994770830327813,4.35606085170399,38.357816522771664
shrink_and_perturb,0,17,367.3680597941081,156.87263107299805,2.3470919529596963,2.49918923775355,1.499798725048701,4.861111164093018,38.797813415527344
shrink_and_perturb,0,18,383.4713047572545,168.09883444649833,2.290253554071699,1.4998750686645508,1.9990659952163696,5.15873030253819,38.61938149588449
shrink_and_perturb,0,19,329.0945997971755,143.75014319786658,2.294453034034142,3.4997903933891883,1.4995504984488854,5.555555820465088,40.35308779202975
shrink_and_perturb,0,20,320.0952869762074,143.52614107998934,2.2380116202614526,2.9997309771451084,2.0004656965082344,5.555555820465088,40.47973702170632
shrink_and_perturb,0,21,296.2065168108259,128.09593200683594,2.3221712793622697,2.998983212879726,2.499471460069929,6.150794097355434,40.48734065464565
shrink_and_perturb,0,22,403.7812000621449,161.81737171519887,2.5088702115145596,1.5002099709077314,1.5004332932558926,6.439394343983043,41.373924255371094
shrink_and_perturb,0,23,435.7292508212003,145.2638175270774,3.0074900713833896,1.000418489629572,2.500117995522239,7.449495315551758,40.855863397771664
shrink_and_perturb,0,24,466.5941182454427,173.77366333007814,2.6920942147572835,1.4999189853668213,1.5000590324401855,7.500000381469727,41.11371103922526
shrink_and_perturb,0,25,570.9928232828776,183.72664642333984,3.1211520632108054,0.999999612569809,1.4995808402697246,7.638889312744141,41.62763214111328
shrink_and_perturb,0,26,299.3352883078835,128.8341591574929,2.3375971750779585,2.9999149929393423,2.4985912062905054,7.638889312744141,41.636503046209164
shrink_and_perturb,0,27,660.478511265346,204.36939784458704,3.24085601738521,1.5003142952919006,1.4999560969216483,7.638889312744141,42.04861995152065
shrink_and_perturb,0,28,658.9019165039062,203.93964871493253,3.2368872382424096,1.0007925629615784,2.4995274977250532,7.638889312744141,42.282304937189274
shrink_and_perturb,0,29,305.68017023259944,138.6356797651811,2.218920599330555,3.500146649100564,2.0014973011883823,7.638889312744141,42.999074415727094
shrink_and_perturb,0,30,240.83643341064453,109.66024344308036,2.2098348481314525,3.500015684536525,3.4995677641459872,8.333333969116211,42.154563903808594
shrink_and_perturb,0,31,391.63768592247595,151.7437990628756,2.592673943592952,1.9989377902104304,3.50005369919997,7.104701115534856,42.69500673734225
shrink_and_perturb,0,32,606.6292489858774,207.76983055701623,2.9229852052835317,0.5000653542005099,1.9995567798614502,8.333333969116211,43.82393558208759
shrink_and_perturb,0,33,399.20440673828125,159.04474385579428,2.510613660017649,2.499307096004486,2.4995012283325195,7.986111640930176,43.175902684529625
shrink_and_perturb,0,34,270.2595977783203,118.01917966206868,2.299095352490743,3.499601642290751,3.500511646270752,8.62268590927124,43.07181644439697
shrink_and_perturb,0,35,764.1965535481771,246.13574727376303,3.1177041133244834,1.4999220470587413,0.5003238345185915,7.870370864868164,44.301326751708984
shrink_and_perturb,0,36,772.329150390625,252.3580581665039,3.075922465324402,0.9995300710201264,0.9999613761901855,7.986111640930176,44.59796981811523
shrink_and_perturb,0,37,966.9132232666016,273.52200508117676,3.552663207054138,0.9998340904712677,1.499425321817398,7.812500476837158,45.472286224365234
shrink_and_perturb,0,38,477.4680824279785,172.25627994537354,2.7779776602983475,1.4999726936221123,2.9999581277370453,8.333333909511566,44.07201385498047
shrink_and_perturb,0,39,717.8452941894532,223.16393585205077,3.21135938167572,0.5002151697874069,3.5001211404800414,8.81944522857666,44.67603378295898
adam,1,0,112.1274045308431,84.32434272766113,1.341088553269704,1.4997906585534413,1.4984504282474518,0.9837963432073593,1.5092375054955482
adam,1,1,149.94976152692522,101.5339241027832,1.4897243295397078,3.5000814540045604,2.5000603709902083,2.2321430104119435,14.932529858180455
adam,1,2,186.86028289794922,110.14076614379883,1.708085427681605,2.500042895476023,2.000301420688629,2.777777910232544,20.79104773203532
adam,1,3,206.7580469304865,118.1320370760831,1.7610615491867065,1.9995080666108564,3.4999862150712446,3.4090910174629907,24.597259868275035
